sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_net_fixed_assets|sa_cf_net_frm_op_activity
29450|BALAJI WAFERS PVT. LTD.|20150331|12|IGAAP|12459.3000|327.5000|NA|1590.9000|NA|3593.7000|NA
29450|BALAJI WAFERS PVT. LTD.|20160331|12|INDAS|14013.1000|245.4000|151.2000|NA|NA|3305.9000|2446.2000
29450|BALAJI WAFERS PVT. LTD.|20170331|12|INDAS|16101.9000|381.7000|NA|2737.2000|NA|5332.5000|1819.6000
29450|BALAJI WAFERS PVT. LTD.|20180331|12|INDAS|18361.0000|269.1000|NA|1274.2000|NA|5606.7000|2475.0000
29450|BALAJI WAFERS PVT. LTD.|20190331|12|INDAS|19675.9000|431.3000|NA|902.1000|NA|5505.8000|1170.9000
29450|BALAJI WAFERS PVT. LTD.|20200331|12|INDAS|23359.5000|358.3000|NA|2469.1000|NA|6582.0000|2681.6000
29450|BALAJI WAFERS PVT. LTD.|20210331|12|INDAS|29309.8000|878.4000|NA|3340.4000|NA|8282.8000|1408.4000
29450|BALAJI WAFERS PVT. LTD.|20220331|12|INDAS|39929.3000|1074.7000|NA|2467.5000|NA|9144.4000|NA
29450|BALAJI WAFERS PVT. LTD.|20230331|12|INDAS|49146.7000|1534.7000|NA|3015.1000|NA|10272.9000|NA
314421|CHOICE TRADING CORPN. PVT. LTD.|20150331|12|IGAAP|2566.2000|33.4000|NA|62.6000|0.8000|330.6000|-214.9000
314421|CHOICE TRADING CORPN. PVT. LTD.|20160331|12|INDAS|1973.7000|78.5000|NA|101.4000|0.8000|1034.9000|205.1000
314421|CHOICE TRADING CORPN. PVT. LTD.|20170331|12|INDAS|2285.6000|82.6000|NA|12.5000|NA|996.1000|-96.3000
314421|CHOICE TRADING CORPN. PVT. LTD.|20180331|12|INDAS|3308.8000|54.8000|NA|115.7000|0.3000|1058.7000|-716.3000
314421|CHOICE TRADING CORPN. PVT. LTD.|20190331|12|INDAS|3454.7000|50.3000|NA|35.6000|0.2000|1038.3000|-6.1000
314421|CHOICE TRADING CORPN. PVT. LTD.|20200331|12|INDAS|3451.1000|80.7000|NA|79.4000|NA|1084.0000|197.9000
314421|CHOICE TRADING CORPN. PVT. LTD.|20210331|12|INDAS|4269.0000|143.0000|NA|96.8000|2.1000|1103.6000|67.4000
314421|CHOICE TRADING CORPN. PVT. LTD.|20220331|12|INDAS|5399.5000|100.7000|NA|73.9000|3.9000|1090.0000|297.6000
314421|CHOICE TRADING CORPN. PVT. LTD.|20230331|12|INDAS|NA|169.3000|NA|964.8000|2.0000|1987.5000|47.3000
328203|BIKAJI FOODS INTL. LTD.|20150331|12|IGAAP|4662.5000|229.5000|261.2000|134.8000|1.1000|1001.7000|543.7000
328203|BIKAJI FOODS INTL. LTD.|20160331|12|IGAAP|5484.1000|596.2000|NA|929.0000|3.6000|1756.6000|340.4000
328203|BIKAJI FOODS INTL. LTD.|20170331|12|INDAS|6084.4000|638.8000|NA|659.5000|6.4000|2278.3000|376.5000
328203|BIKAJI FOODS INTL. LTD.|20180331|12|INDAS|7677.5000|458.2000|NA|1007.8000|NA|3096.2000|783.9000
328203|BIKAJI FOODS INTL. LTD.|20190331|12|INDAS|8901.0000|343.1000|NA|1071.1000|NA|3928.9000|638.4000
328203|BIKAJI FOODS INTL. LTD.|20200331|12|INDAS|10476.8000|173.6000|NA|408.0000|0.3000|4004.0000|NA
328203|BIKAJI FOODS INTL. LTD.|20210331|12|INDAS|12736.2000|126.7000|NA|359.0000|7.8000|4023.6000|1210.7000
328203|BIKAJI FOODS INTL. LTD.|20220331|12|INDAS|15435.2000|418.8000|142.5000|1136.6000|4.8000|4761.6000|598.2000
328203|BIKAJI FOODS INTL. LTD.|20230331|12|INDAS|17884.8000|446.4000|211.3000|655.3000|1.1000|4939.8000|1725.4000
345697|EXOTIC FRUITS PVT. LTD.|20150331|12|IGAAP|2099.0000|531.4000|NA|28.9000|NA|459.8000|75.6000
345697|EXOTIC FRUITS PVT. LTD.|20160331|12|IGAAP|2361.4000|493.3000|59.3000|406.2000|NA|744.7000|-141.6000
345697|EXOTIC FRUITS PVT. LTD.|20170331|12|IGAAP|2638.7000|420.2000|58.6000|295.0000|NA|878.5000|550.2000
345697|EXOTIC FRUITS PVT. LTD.|20180331|12|IGAAP|2457.8000|666.7000|NA|24.6000|0.8000|758.1000|38.9000
345697|EXOTIC FRUITS PVT. LTD.|20190331|12|IGAAP|1945.3000|737.4000|97.5000|64.9000|NA|696.3000|334.3000
345697|EXOTIC FRUITS PVT. LTD.|20200331|12|IGAAP|2149.9000|697.1000|106.3000|40.8000|0.2000|625.4000|29.1000
345697|EXOTIC FRUITS PVT. LTD.|20210331|12|IGAAP|1817.8000|575.3000|NA|12.9000|NA|545.7000|651.9000
345697|EXOTIC FRUITS PVT. LTD.|20220331|12|IGAAP|4527.5000|487.4000|NA|98.9000|0.2000|549.9000|-313.1000
348998|HALDIRAM FOODS INTL. LTD.|20150331|12|IGAAP|14210.4000|65.1000|NA|677.1000|NA|3326.5000|NA
348998|HALDIRAM FOODS INTL. LTD.|20160331|12|INDAS|15907.6000|3.2000|NA|182.1000|NA|3285.7000|NA
348998|HALDIRAM FOODS INTL. LTD.|20170331|12|INDAS|21022.1000|50.8000|NA|1378.4000|NA|4033.4000|NA
348998|HALDIRAM FOODS INTL. LTD.|20180331|12|INDAS|20339.0000|NA|NA|651.8000|NA|4295.9000|NA
348998|HALDIRAM FOODS INTL. LTD.|20190331|12|INDAS|20313.2000|NA|NA|2595.4000|NA|6561.7000|1752.6000
348998|HALDIRAM FOODS INTL. LTD.|20200331|12|INDAS|20398.1000|NA|NA|1684.7000|19.1000|7611.7000|2869.4000
348998|HALDIRAM FOODS INTL. LTD.|20210331|12|INDAS|21184.2000|NA|NA|2158.2000|2.1000|9393.9000|2512.3000
348998|HALDIRAM FOODS INTL. LTD.|20220331|12|INDAS|24449.4000|837.0000|NA|935.7000|5.7000|9858.7000|2041.2000
353460|SURUCHI SPICES PVT. LTD.|20150331|12|IGAAP|1336.5000|20.0000|NA|7.3000|NA|197.5000|-43.6000
353460|SURUCHI SPICES PVT. LTD.|20160331|12|IGAAP|1722.8000|20.3000|NA|13.5000|NA|198.8000|NA
353460|SURUCHI SPICES PVT. LTD.|20170331|12|IGAAP|1856.2000|12.7000|NA|0.5000|NA|195.1000|53.5000
353460|SURUCHI SPICES PVT. LTD.|20180331|12|IGAAP|1615.4000|4.5000|NA|51.2000|NA|228.6000|53.4000
353460|SURUCHI SPICES PVT. LTD.|20190331|12|IGAAP|2072.6000|4.8000|NA|9.8000|NA|211.9000|69.6000
353460|SURUCHI SPICES PVT. LTD.|20200331|12|IGAAP|2136.4000|4.8000|NA|NA|NA|211.5000|NA
353460|SURUCHI SPICES PVT. LTD.|20210331|12|IGAAP|2232.0000|5.5000|NA|42.2000|NA|241.5000|-169.0000
357699|DEL MONTE FOODS PVT. LTD.|20150331|12|IGAAP|2311.1000|959.1000|NA|29.3000|6.3000|1102.1000|-46.9000
357699|DEL MONTE FOODS PVT. LTD.|20160331|12|IGAAP|2640.2000|649.7000|NA|68.0000|NA|1043.7000|-130.4000
