ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
357699|DEL MONTE FOODS PVT. LTD.|20210331|12|INDAS|4341.3000|11.6000|526.2000|264.5000|150.0000|7.3000|0.6000|7.3000|202.4000|NA
357699|DEL MONTE FOODS PVT. LTD.|20220331|12|INDAS|4454.5000|6.3000|569.3000|405.3000|71.3000|55.8000|1.8000|55.8000|147.0000|NA
357699|DEL MONTE FOODS PVT. LTD.|20230331|12|INDAS|5331.2000|4.0000|553.8000|560.4000|80.0000|167.7000|0.2000|167.7000|176.4000|NA
362711|ORGANIC INDIA PVT. LTD.|20160331|12|IGAAP|2027.7000|NA|266.9000|244.6000|NA|164.8000|15.8000|164.8000|141.7000|231.3000
362711|ORGANIC INDIA PVT. LTD.|20170331|12|INDAS|1175.6000|31.8000|387.5000|249.7000|NA|178.5000|NA|178.5000|110.7000|256.0000
362711|ORGANIC INDIA PVT. LTD.|20180331|12|INDAS|1249.5000|NA|410.6000|848.7000|NA|99.6000|28.7000|99.6000|NA|318.9000
362711|ORGANIC INDIA PVT. LTD.|20190331|12|INDAS|3328.2000|NA|567.7000|637.8000|NA|1229.0000|391.8000|1229.0000|377.3000|380.6000
362711|ORGANIC INDIA PVT. LTD.|20200331|12|INDAS|3426.4000|22.1000|517.9000|461.7000|NA|195.3000|54.3000|195.3000|298.8000|NA
362711|ORGANIC INDIA PVT. LTD.|20210331|12|INDAS|3868.9000|78.8000|610.2000|238.5000|NA|54.3000|6.5000|54.3000|305.3000|NA
362711|ORGANIC INDIA PVT. LTD.|20220331|12|INDAS|3851.8000|NA|736.7000|310.5000|NA|73.0000|33.3000|73.0000|322.4000|398.5000
384085|PARAG MILK FOODS LTD.|20160331|12|IGAAP|14509.2000|5.5000|655.7000|1248.4000|280.1000|952.6000|2.2000|952.6000|587.2000|318.1000
384085|PARAG MILK FOODS LTD.|20170331|12|INDAS|16067.6000|21.4000|658.2000|703.1000|NA|684.9000|3.7000|684.9000|406.5000|568.2000
384085|PARAG MILK FOODS LTD.|20180331|12|INDAS|19021.1000|NA|733.6000|635.2000|274.9000|1222.7000|52.7000|1222.7000|186.5000|NA
384085|PARAG MILK FOODS LTD.|20190331|12|INDAS|20710.2000|182.1000|934.8000|646.3000|259.0000|651.9000|5.7000|651.9000|NA|NA
384085|PARAG MILK FOODS LTD.|20200331|12|INDAS|22215.8000|9.6000|901.1000|593.5000|302.3000|815.8000|11.5000|815.8000|-663.9000|NA
384085|PARAG MILK FOODS LTD.|20210331|12|INDAS|16731.2000|4.3000|785.3000|419.0000|302.2000|623.9000|8.9000|623.9000|999.4000|NA
