ca_finance1_cocode|ca_company_name|ca_finance1_year|ca_ann_rep_months|ca_fs_format|ca_sale_of_goods|ca_export_incentives|ca_salaries_bonus_pf|ca_long_term_borrowings|ca_curr_portion_lt_borrowings|ca_gross_fixed_ast_addn|ca_gross_intangible_assets_tot_addn|ca_gross_fixed_ast_addn|ca_cf_net_frm_op_activity|ca_export_goods
122271|KONKAN AGRO MARINE INDS. PVT. LTD.|20210331|12|IGAAP|616.7000|NA|37.2000|435.1000|NA|32.9000|0.6000|32.9000|NA|NA
122271|KONKAN AGRO MARINE INDS. PVT. LTD.|20220331|12|IGAAP|761.9000|NA|47.6000|429.8000|NA|410.5000|0.7000|410.5000|NA|NA
122781|KOTHARI SUGARS & CHEMICALS LTD.|20160331|12|IGAAP|2414.6000|NA|150.6000|922.1000|NA|4.4000|NA|4.4000|253.6000|NA
122781|KOTHARI SUGARS & CHEMICALS LTD.|20170331|12|INDAS|3118.8000|NA|169.9000|429.8000|322.4000|109.7000|NA|109.7000|243.3000|NA
122781|KOTHARI SUGARS & CHEMICALS LTD.|20180331|12|INDAS|2768.1000|NA|172.5000|256.1000|173.1000|17.4000|3.1000|17.4000|356.1000|NA
12495|AMAR TEA PVT. LTD.|20190331|12|IGAAP|4884.2000|NA|150.8000|903.4000|NA|1223.7000|1.0000|1223.7000|919.9000|NA
12495|AMAR TEA PVT. LTD.|20200331|12|IGAAP|5050.1000|NA|210.6000|1045.0000|NA|297.4000|2.8000|297.4000|320.4000|NA
12495|AMAR TEA PVT. LTD.|20210331|12|IGAAP|6134.1000|NA|185.7000|526.1000|119.7000|45.1000|1.9000|45.1000|306.6000|NA
12495|AMAR TEA PVT. LTD.|20220331|12|IGAAP|6505.2000|NA|229.8000|317.5000|116.5000|54.3000|2.1000|54.3000|1288.7000|NA
125016|KWALITY LTD.|20160331|12|INDAS|43013.9000|0.1000|268.6000|2545.8000|504.4000|286.2000|16.0000|286.2000|-114.3000|NA
125016|KWALITY LTD.|20170331|12|INDAS|68712.3000|NA|346.2000|5031.0000|720.6000|1978.5000|1.7000|1978.5000|2706.6000|NA
125016|KWALITY LTD.|20180331|12|INDAS|73102.7000|NA|411.1000|4681.0000|1848.1000|1555.3000|2.2000|1555.3000|854.8000|NA
