sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
210328|SANDHYA MARINES LTD.|20170331|12|IGAAP|3999.4000|NA|63.3000|3.7000|NA|235.2000|NA|NA|NA|191.2000|NA
210328|SANDHYA MARINES LTD.|20180331|12|IGAAP|5000.5000|NA|96.3000|23.0000|NA|433.6000|258.8000|NA|258.8000|NA|NA
210328|SANDHYA MARINES LTD.|20190331|12|IGAAP|5635.3000|NA|135.1000|38.4000|NA|1000.7000|655.4000|NA|655.4000|480.8000|NA
210328|SANDHYA MARINES LTD.|20200331|12|INDAS|7592.2000|NA|201.1000|87.9000|26.2000|1051.1000|184.5000|NA|184.5000|NA|5305.6000
210328|SANDHYA MARINES LTD.|20210331|12|INDAS|9745.8000|160.9000|236.0000|23.6000|7.1000|1292.8000|389.8000|NA|389.8000|NA|4494.2000
210328|SANDHYA MARINES LTD.|20220331|12|INDAS|16100.9000|224.6000|287.2000|392.1000|18.9000|2088.9000|975.9000|NA|975.9000|36.8000|NA
210328|SANDHYA MARINES LTD.|20230331|12|INDAS|16881.7000|221.8000|322.6000|45.5000|2.9000|2207.5000|337.5000|NA|337.5000|2121.6000|NA
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20160331|12|IGAAP|NA|NA|112.8000|85.1000|2.5000|320.1000|51.7000|NA|51.7000|191.6000|903.0000
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20170331|12|IGAAP|NA|NA|135.7000|125.5000|4.5000|574.6000|280.5000|NA|280.5000|133.1000|1175.3000
222337|SHREE BHAGWATI FLOUR & FOODS PVT. LTD.|20180331|12|IGAAP|NA|NA|NA|116.4000|NA|650.6000|113.1000|1.5000|113.1000|161.8000|1224.1000
