sa_finance1_cocode|sa_company_name|sa_finance1_year|sa_ann_rep_months|sa_fs_format|sa_sale_of_goods|sa_export_incentives|sa_salaries_bonus_pf|sa_long_term_borrowings|sa_curr_portion_lt_borrowings|sa_net_fixed_assets|sa_gross_fixed_ast_addn|sa_gross_intangible_assets_tot_addn|sa_gross_fixed_ast_addn|sa_cf_net_frm_op_activity|sa_export_goods
107157|JAMKHANDI SUGARS LTD.|20180331|12|IGAAP|4699.1000|NA|155.7000|1030.9000|683.4000|5328.5000|667.2000|NA|667.2000|418.9000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20160331|12|IGAAP|6911.8000|NA|260.8000|168.5000|65.2000|797.2000|185.6000|1.6000|185.6000|184.0000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20170331|12|IGAAP|6792.7000|NA|281.1000|108.0000|65.5000|1262.7000|592.8000|6.2000|592.8000|206.5000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20180331|12|IGAAP|5823.8000|NA|293.2000|38.0000|65.2000|1226.9000|66.6000|2.0000|66.6000|NA|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20190331|12|IGAAP|7504.7000|NA|307.4000|0.0000|38.0000|1231.3000|104.2000|0.3000|104.2000|213.3000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20200331|12|IGAAP|8976.2000|NA|355.7000|NA|NA|1216.2000|85.5000|4.1000|85.5000|NA|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20210331|12|INDAS|8122.3000|NA|376.4000|27.3000|NA|1623.1000|430.2000|4.0000|430.2000|567.5000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20220331|12|INDAS|12325.0000|NA|407.7000|31.5000|3.9000|1463.0000|61.1000|2.7000|61.1000|36.9000|NA
107583|JAPFA COMFEED INDIA PVT. LTD.|20230331|12|INDAS|11600.8000|NA|449.8000|377.2000|10.4000|1488.0000|164.4000|NA|164.4000|572.6000|NA
107757|JASMINE CONCRETE EXPORTS PVT. LTD.|20160331|12|IGAAP|545.4000|6.3000|59.4000|NA|NA|51.4000|6.0000|0.3000|6.0000|66.3000|502.3000
