S.No. ,Name of Company ,Category,RTE/ RTC ,F &V ,Marine ,Mozzerrella Cheese ,Innovative ,Organic ,B&M ,Prowess Code,CIN,NIC Code,Year of Incorporation,CMIE Footprint,Name Matching,Comments,Data Issues,Requirement of Segment Wise Analysis
102,Sresta Natural Bioproducts Pvt. Ltd.,Category 3, , , , , , ,B&M,476790,U01122TG2004PLC042837,1122,2004,Yes,Exact Match,,,
103,Stayfit Enterprize Pvt. Ltd.,Category 3, , , , , , ,B&M,,U74900PN2014PTC150743,74900,2014,No,Exact Match,Business Activities nec,,
104,Sunfresh Agro Industries Pvt. Ldt,Category 1, , , ,Mozzerrella Cheese, , , ,416884,U01122PN2007PTC129505,1122,2007,Yes,Exact Match,,Incentive is only for Mozarella cheese for which segment data is not available. ,
105,Sunshine Tea House Pvt. Ltd.,Category 3, , , , , , ,B&M,,#N/A,N/A,,No,See comments,Could not identify.,,
106,Suruchi Spices Pvt. Ltd.,Category 1, ,F&V, , , , ,B&M,353460,U15100MH1990PTC058404,15100,1990,Yes,Exact Match,,,No
107,Synthite Industries P Ltd.,Category 1, ,F&V, , , , , ,245605,U24299KL1970PTC002294,24299,1970,Yes,Exact Match,"Seasonings, spics and bio-ingredients.",,Yes
108,Tasty Bite Eatables Ltd.,Category 1, ,F&V, , , , , ,248057,L15419PN1985PLC037347,15419,1985,Yes,Exact Match,,,No
109,Tata Consumer Products Ltd.,Category 1, ,F&V, , , , ,B&M,248186,L15491WB1962PLC031425,15491,1962,Yes,Exact Match,,"Segmentation changes over the years, tea and coffee are big business with no segmentation from 2019 onwards. Many consumer products like Tata Salt are not under PLI",
110,Treta Agro Pvt. Ltd.,Category 2, , , , , ,Organic,B&M,,U51101UR2013PTC000643,51101,2013,No,Exact Match,Wholesale traders,,
111,Vadilal Industries Ltd.,Category 3, , , , , , ,B&M,261277,L91110GJ1982PLC005169,91110,1982,Yes,Exact Match,,,
112,Varun Beverages Ltd.,Category 1, ,F&V, , , , , ,262869,L74899DL1995PLC069839,74899,1995,Yes,Exact Match,Other business activity,They have the franchise for Pepsico. All beverages including aerated drinks and water that are not included under PLI,No
113,Vezlay Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15435DL2010PTC197593,15435,2010,No,Exact Match,,,
114,Vidya Herbs Pvt. Ltd.,Category 1, ,F&V, , , , , ,456205,U24233KA2004PTC033937,24233,2004,Yes,Exact Match,"Phytoextracts, plant based vitamins and minerals etc.",They are manufacturing nutraceuticals with no segmentation,
115,Weikfield Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,271188,U15549MH1998PTC114249,15549,1998,Yes,Exact Match,,,
116,Western India Cashew Company Pvt. Ltd.,Category 2, , , , , ,Organic, ,384448,U01119TZ2000PTC009341,1119,2000,Yes,Exact Match,,,
117,Wow Momo Foods Pvt. Ltd.,Category 3, , , , , , ,B&M,,U15122WB2015PTC205829,15122,2015,No,Exact Match,,,
118,Zea Maize Pvt. Ltd.,Category 3, , , , , , ,B&M,528182,U15494DL2013PTC255802,15494,2013,Yes,Exact Match,,,
119,Zydus Wellness Ltd.,Category 3, , , , , , ,B&M,42684,L15201GJ1994PLC023490,15201,1994,Yes,Exact Match,,,
